m1.kg,m2.kg,mc.kg,x.m,t.s,source
1.000,0.050,0.493,0.70,2.42,arenas
1.000,0.050,0.493,0.70,2.22,arenas
1.000,0.050,0.493,0.70,2.28,arenas
1.000,0.200,0.493,0.70,1.19,arenas
1.000,0.200,0.493,0.70,0.91,arenas
1.000,0.200,0.493,0.70,0.91,arenas
0.000,0.100,0.500,0.8,1.08,avalur
0.000,0.100,0.500,0.8,0.91,avalur
0.000,0.100,0.500,0.8,0.94,avalur
0.020,0.100,0.500,0.8,1.10,avalur
0.020,0.100,0.500,0.8,0.95,avalur
0.020,0.100,0.500,0.8,1.03,avalur
0.050,0.100,0.500,0.8,1.13,avalur
0.050,0.100,0.500,0.8,1.13,avalur
0.050,0.100,0.500,0.8,1.19,avalur
0.100,0.100,0.500,0.8,1.21,avalur
0.100,0.100,0.500,0.8,1.16,avalur
0.100,0.100,0.500,0.8,1.16,avalur
0.200,0.100,0.500,0.8,1.28,avalur
0.200,0.100,0.500,0.8,1.31,avalur
0.200,0.100,0.500,0.8,1.20,avalur
0.500,0.100,0.500,0.8,1.36,avalur
0.500,0.100,0.500,0.8,1.34,avalur
0.500,0.100,0.500,0.8,1.28,avalur
1.000,0.100,0.500,0.8,1.90,avalur
1.000,0.100,0.500,0.8,1.58,avalur
1.000,0.100,0.500,0.8,1.56,avalur
1.000,0.020,0.500,0.5,2.72,canada
1.000,0.020,0.500,0.5,2.63,canada
1.000,0.020,0.500,0.5,2.69,canada
1.000,0.020,0.500,0.5,2.57,canada
1.000,0.020,0.500,0.5,2.60,canada
1.000,0.020,0.500,0.5,2.53,canada
1.000,0.020,0.500,0.5,2.72,canada
1.000,0.020,0.500,0.5,2.68,canada
1.000,0.020,0.500,0.5,2.72,canada
2.000,0.020,0.500,0.5,3.53,canada
2.000,0.020,0.500,0.5,3.53,canada
2.000,0.020,0.500,0.5,3.53,canada
2.000,0.020,0.500,0.5,3.63,canada
2.000,0.020,0.500,0.5,3.65,canada
2.000,0.020,0.500,0.5,3.65,canada
2.000,0.020,0.500,0.5,3.59,canada
2.000,0.020,0.500,0.5,3.50,canada
2.000,0.020,0.500,0.5,3.42,canada
2.000,0.020,0.500,0.5,3.50,canada
2.000,0.020,0.500,0.5,3.56,canada
2.000,0.020,0.500,0.5,3.53,canada
3.000,0.020,0.500,0.5,4.56,canada
3.000,0.020,0.500,0.5,4.57,canada
3.000,0.020,0.500,0.5,4.53,canada
3.000,0.020,0.500,0.5,4.13,canada
3.000,0.020,0.500,0.5,4.15,canada
3.000,0.020,0.500,0.5,4.06,canada
3.000,0.020,0.500,0.5,4.34,canada
3.000,0.020,0.500,0.5,4.34,canada
3.000,0.020,0.500,0.5,4.38,canada
3.000,0.020,0.500,0.5,4.31,canada
3.000,0.020,0.500,0.5,4.25,canada
3.000,0.020,0.500,0.5,4.44,canada
3.000,0.020,0.500,0.5,4.25,canada
3.000,0.020,0.500,0.5,4.37,canada
3.000,0.020,0.500,0.5,4.25,canada
0,0.05,0.5,0.5,2.39,govardhanen
0,0.07,0.5,0.5,2.05,govardhanen
0,0.1,0.5,0.5,1.8,govardhanen
0.280,0.020,0.500,0.65,2.35,kedharnath
0.280,0.050,0.500,0.65,1.45,kedharnath
0.280,0.100,0.500,0.65,1.20,kedharnath
0.280,0.200,0.500,0.65,0.79,kedharnath
0.280,0.500,0.500,0.65,0.62,kedharnath
1.200,0.250,0.500,0.5,0.87,kishore
2.400,0.250,0.500,0.5,1.23,kishore
3.600,0.250,0.500,0.5,1.35,kishore
0.000,0.200,0.500,0.45,0.56,krasnopolsky
0.000,0.200,0.500,0.45,0.55,krasnopolsky
0.000,0.200,0.500,0.45,0.58,krasnopolsky
0.000,0.500,0.500,0.45,0.44,krasnopolsky
0.000,0.500,0.500,0.45,0.46,krasnopolsky
0.000,0.500,0.500,0.45,0.48,krasnopolsky
0.000,1.000,0.500,0.45,0.36,krasnopolsky
0.000,1.000,0.500,0.45,0.37,krasnopolsky
0.000,1.000,0.500,0.45,0.36,krasnopolsky
0.000,1.200,0.500,0.45,0.32,krasnopolsky
0.000,1.200,0.500,0.45,0.31,krasnopolsky
0.000,1.200,0.500,0.45,0.31,krasnopolsky
0.000,1.500,0.500,0.45,0.30,krasnopolsky
0.000,1.500,0.500,0.45,0.29,krasnopolsky
0.000,1.500,0.500,0.45,0.31,krasnopolsky
0.5042,0.020,0.000,0.40,2.84,perle
0.5042,0.020,0.000,0.40,2.86,perle
0.5042,0.020,0.000,0.40,2.85,perle
0.5042,0.020,0.000,0.40,2.83,perle
0.5042,0.020,0.000,0.40,2.85,perle
1.200,0.200,0.500,0.7,0.94,yagnyeshwaran
1.200,0.200,0.500,0.7,1.08,yagnyeshwaran
1.200,0.200,0.500,0.7,1.08,yagnyeshwaran
2.400,0.200,0.500,0.7,1.43,yagnyeshwaran
2.400,0.200,0.500,0.7,1.36,yagnyeshwaran
2.400,0.200,0.500,0.7,1.51,yagnyeshwaran
3.600,0.200,0.500,0.7,1.64,yagnyeshwaran
3.600,0.200,0.500,0.7,1.57,yagnyeshwaran
3.600,0.200,0.500,0.7,1.63,yagnyeshwaran
